Criminal Name,Crime,Date,Region,future crime rate
Leslie Roberts,Homicide,2020-01-31,Hawaii,
Jessica Powell,Homicide,2020-03-29,Kansas,
Toni Bowen,Robbery,2023-04-11,Hawaii,
Bryan Morales,Arson,2021-11-16,Oklahoma
Cynthia Williams DVM,Drug Possession,2022-06-03,Maine
Alex Fernandez,Burglary,2020-11-05,Colorado
Crystal Long,Drug Possession,2019-07-12,Wisconsin
Lisa Ford,Assault,2022-11-03,Wyoming
Daniel Goodman,Robbery,2022-04-04,South Dakota
Erica Lane DVM,Kidnapping,2018-12-23,Oregon
Regina Grant,Fraud,2020-03-07,New Jersey
Jennifer Miller,Forgery,2019-11-05,Pennsylvania
Tiffany Wallace,Kidnapping,2019-05-17,Tennessee
James Arnold,Embezzlement,2019-08-10,Nevada
Karen Olson,Assault,2019-10-10,Hawaii
Cheyenne Brown,Fraud,2022-07-10,Mississippi
Gina Harris,Embezzlement,2022-04-17,Iowa
Elizabeth Todd,Assault,2019-04-20,Colorado
Renee Smith,Forgery,2022-05-28,Idaho
Jill Gillespie,Embezzlement,2022-04-21,Vermont
David Parker,Drug Possession,2020-05-16,Utah
Randy Taylor,Arson,2022-06-05,Missouri
Heidi Greene,Drug Possession,2022-06-08,Missouri
Jason Bailey,Fraud,2022-09-28,Wisconsin
Adam King,Vandalism,2023-03-28,Hawaii
Mrs. Melanie Nelson MD,Homicide,2022-04-03,South Dakota
James Mcguire,Arson,2021-09-21,South Carolina
Justin Cabrera,Burglary,2022-08-23,South Dakota
Matthew Hall,Robbery,2020-11-21,Kansas
Sharon Shelton,Forgery,2022-10-12,Delaware
Anne Williams,Fraud,2021-12-07,Montana
Rick Richard,Drug Possession,2020-02-13,Nebraska
Brandon Foster,Assault,2020-11-13,Texas
Lauren Rollins,Forgery,2018-10-31,Nebraska
Paula Spencer,Embezzlement,2020-11-15,Tennessee
Monique Davidson,Arson,2021-09-03,Utah
Paul Ritter,Forgery,2021-06-08,North Carolina
James Vazquez,Embezzlement,2022-04-20,Wyoming
Patricia Reilly,Drug Possession,2020-03-15,Wyoming
Frank Hunt,Embezzlement,2023-02-15,Nebraska
Danielle Cline,Grand Theft Auto,2020-04-11,Michigan
Andrea Clark,Robbery,2020-04-20,Delaware
Brent Thomas,Burglary,2023-03-25,Michigan
Robert Hurst,Embezzlement,2021-10-23,Mississippi
